               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.035303,            0.012547,           0.0037851,             0.99194,                   1,               0.995,             0.85445,            0.029127,           0.0038745,            0.003072,           0.0083962,           0.0083962,           0.0083962
                  83,            0.030443,           0.0095237,           0.0036076,             0.93555,                   1,              0.9869,             0.75225,            0.028524,           0.0040937,           0.0030884,           0.0083764,           0.0083764,           0.0083764
                  84,             0.02918,           0.0083213,           0.0035309,             0.92366,             0.98785,             0.99109,             0.70434,            0.025782,           0.0038943,           0.0030613,           0.0083566,           0.0083566,           0.0083566
                  85,            0.033109,            0.012509,           0.0040323,             0.95693,                   1,               0.993,              0.8495,            0.023761,           0.0039149,           0.0031278,           0.0083368,           0.0083368,           0.0083368
                  86,            0.031381,           0.0092875,           0.0037544,             0.99531,                   1,               0.995,             0.66333,            0.025837,           0.0040752,           0.0029872,            0.008317,            0.008317,            0.008317
                  87,             0.03655,            0.010533,           0.0037596,             0.75267,             0.95918,             0.95165,             0.81092,             0.02876,           0.0041692,           0.0030495,           0.0082972,           0.0082972,           0.0082972
                  88,            0.032525,           0.0092255,           0.0035182,             0.99827,                   1,               0.995,              0.7696,            0.023342,           0.0038209,           0.0030033,           0.0082774,           0.0082774,           0.0082774
                  89,            0.025512,           0.0080145,           0.0035323,             0.82676,               0.974,             0.96229,             0.73301,            0.030364,           0.0043671,           0.0030534,           0.0082576,           0.0082576,           0.0082576
                  90,            0.035023,           0.0089873,           0.0037431,             0.99844,                   1,               0.995,             0.78751,            0.027472,           0.0038456,           0.0029834,           0.0082378,           0.0082378,           0.0082378
                  91,            0.033858,           0.0090696,           0.0035952,             0.99309,                   1,               0.995,             0.81061,            0.024217,           0.0041385,            0.003085,            0.008218,            0.008218,            0.008218
                  92,            0.027492,           0.0075229,           0.0034359,             0.99856,                   1,               0.995,             0.67774,            0.033105,           0.0039716,           0.0029002,           0.0081982,           0.0081982,           0.0081982
                  93,            0.037705,           0.0093008,           0.0036385,             0.99299,                   1,               0.995,             0.77986,            0.024211,           0.0039257,           0.0030814,           0.0081784,           0.0081784,           0.0081784
                  94,            0.028372,           0.0079767,           0.0037387,             0.99646,                   1,               0.995,             0.78533,            0.024494,           0.0038592,           0.0028912,           0.0081586,           0.0081586,           0.0081586
                  95,            0.036488,           0.0095569,            0.003446,              0.7341,             0.97959,              0.9572,             0.69723,            0.031563,           0.0040979,           0.0029903,           0.0081388,           0.0081388,           0.0081388
                  96,            0.030799,           0.0087546,           0.0034542,             0.99843,                   1,               0.995,             0.85409,             0.01954,           0.0038002,            0.002971,            0.008119,            0.008119,            0.008119
                  97,            0.029904,            0.011508,           0.0036561,              0.9959,                   1,               0.995,             0.84087,            0.028237,           0.0038495,             0.00292,           0.0080992,           0.0080992,           0.0080992
                  98,            0.029617,           0.0079917,           0.0034199,             0.99817,                   1,               0.995,             0.63062,             0.03103,           0.0040671,           0.0028239,           0.0080794,           0.0080794,           0.0080794
                  99,             0.02815,           0.0081735,           0.0034959,              0.9986,                   1,               0.995,             0.80557,            0.022593,           0.0038251,           0.0029543,           0.0080596,           0.0080596,           0.0080596
                 100,            0.034438,           0.0079736,           0.0034526,             0.99848,                   1,               0.995,             0.71888,            0.025984,           0.0036924,           0.0028601,           0.0080398,           0.0080398,           0.0080398
                 101,             0.03021,            0.011747,           0.0035252,             0.90528,                   1,             0.98984,             0.69539,            0.029679,           0.0043791,           0.0030016,             0.00802,             0.00802,             0.00802
                 102,            0.042341,            0.010184,           0.0040452,             0.99842,                   1,               0.995,             0.82164,            0.022203,           0.0035785,           0.0029559,           0.0080002,           0.0080002,           0.0080002
                 103,            0.026849,           0.0091526,           0.0035966,             0.94498,             0.97959,             0.99241,             0.80893,            0.027288,           0.0038408,           0.0029204,           0.0079804,           0.0079804,           0.0079804
                 104,            0.031694,            0.012456,           0.0033839,              0.9944,                   1,               0.995,             0.78886,            0.026522,           0.0037735,           0.0029521,           0.0079606,           0.0079606,           0.0079606
                 105,            0.034947,           0.0085479,           0.0036739,              0.9907,                   1,               0.995,             0.86229,            0.021624,            0.003649,           0.0030706,           0.0079408,           0.0079408,           0.0079408
                 106,            0.029297,            0.010848,           0.0037675,             0.99597,                   1,               0.995,             0.72136,            0.022006,           0.0035294,            0.002983,            0.007921,            0.007921,            0.007921
                 107,            0.031207,             0.01088,           0.0035618,             0.99849,                   1,               0.995,             0.78354,            0.025199,           0.0037845,           0.0030724,           0.0079012,           0.0079012,           0.0079012
                 108,            0.030916,            0.011059,           0.0035947,             0.99856,                   1,               0.995,             0.84642,             0.02041,           0.0034833,           0.0029487,           0.0078814,           0.0078814,           0.0078814
                 109,            0.032981,            0.012445,           0.0035174,              0.9931,                   1,               0.995,             0.80449,            0.025235,           0.0035102,           0.0030261,           0.0078616,           0.0078616,           0.0078616
                 110,            0.034133,            0.011184,           0.0036773,             0.99854,                   1,               0.995,             0.83533,            0.016452,           0.0032596,           0.0028948,           0.0078418,           0.0078418,           0.0078418
                 111,            0.025413,           0.0092192,            0.003491,             0.96125,             0.97959,             0.99422,              0.7915,            0.031275,           0.0039028,           0.0029021,            0.007822,            0.007822,            0.007822
                 112,            0.034736,            0.010746,           0.0032703,             0.99609,                   1,               0.995,             0.80623,            0.022871,           0.0034825,           0.0028514,           0.0078022,           0.0078022,           0.0078022
                 113,            0.027804,           0.0086932,           0.0033626,              0.9678,                   1,              0.9946,             0.77636,            0.020374,           0.0036671,           0.0029191,           0.0077824,           0.0077824,           0.0077824
                 114,            0.027803,           0.0099089,           0.0036246,             0.99853,                   1,               0.995,             0.80608,            0.021419,           0.0032616,            0.002879,           0.0077626,           0.0077626,           0.0077626
                 115,            0.028571,            0.012123,           0.0034054,             0.99855,                   1,               0.995,             0.72209,            0.023125,           0.0035692,           0.0029759,           0.0077428,           0.0077428,           0.0077428
                 116,            0.030751,            0.010149,           0.0034219,             0.99863,                   1,               0.995,             0.88552,            0.020889,            0.003256,           0.0029146,            0.007723,            0.007723,            0.007723
                 117,            0.024202,           0.0081729,           0.0034551,             0.99704,                   1,               0.995,             0.83626,            0.025175,           0.0034664,           0.0029957,           0.0077032,           0.0077032,           0.0077032
                 118,             0.03146,           0.0084968,           0.0034546,             0.99853,                   1,               0.995,             0.81108,            0.023288,           0.0032391,           0.0028677,           0.0076834,           0.0076834,           0.0076834
                 119,            0.027082,           0.0089506,            0.003533,             0.72667,                   1,             0.88457,             0.72874,            0.029445,           0.0035739,           0.0029523,           0.0076636,           0.0076636,           0.0076636
                 120,            0.030882,           0.0088892,           0.0034351,             0.82109,                   1,             0.92982,             0.76905,            0.022836,           0.0032284,           0.0028922,           0.0076438,           0.0076438,           0.0076438
                 121,            0.023807,           0.0082955,           0.0032721,             0.99864,                   1,               0.995,             0.72103,            0.024935,           0.0037919,           0.0030109,            0.007624,            0.007624,            0.007624
                 122,            0.032735,            0.010736,           0.0034853,             0.99859,                   1,               0.995,             0.85737,            0.019493,           0.0031526,           0.0029439,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024088,            0.010682,           0.0035023,             0.94106,                   1,             0.98381,             0.73693,            0.029781,           0.0036672,           0.0029469,           0.0075844,           0.0075844,           0.0075844
                 124,            0.033985,           0.0083011,            0.003227,             0.99846,                   1,               0.995,             0.86202,            0.016835,           0.0031149,            0.002868,           0.0075646,           0.0075646,           0.0075646
                 125,            0.023667,           0.0082406,           0.0034915,             0.99172,                   1,               0.995,             0.81231,            0.026413,           0.0036264,           0.0028567,           0.0075448,           0.0075448,           0.0075448
                 126,            0.031976,            0.010524,           0.0033666,              0.9985,                   1,               0.995,             0.79142,            0.021135,           0.0031094,           0.0027611,            0.007525,            0.007525,            0.007525
                 127,            0.026468,           0.0072067,           0.0033082,             0.99859,                   1,               0.995,              0.8474,             0.02226,           0.0033798,            0.002843,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025872,           0.0096488,           0.0031929,             0.99849,                   1,               0.995,             0.77035,            0.025085,           0.0033038,           0.0027389,           0.0074854,           0.0074854,           0.0074854
                 129,             0.03395,           0.0099567,           0.0035383,             0.99865,                   1,               0.995,             0.83022,                0.02,           0.0034368,           0.0028244,           0.0074656,           0.0074656,           0.0074656
                 130,            0.022705,           0.0074627,           0.0034091,              0.9986,                   1,               0.995,             0.75614,            0.022231,           0.0031524,           0.0026969,           0.0074458,           0.0074458,           0.0074458
                 131,            0.028082,             0.01032,           0.0032697,             0.99822,                   1,               0.995,             0.79996,            0.021565,           0.0033623,           0.0027109,            0.007426,            0.007426,            0.007426
                 132,            0.027491,            0.010132,           0.0031895,             0.99856,                   1,               0.995,             0.71379,            0.020155,           0.0031865,           0.0026719,           0.0074062,           0.0074062,           0.0074062
                 133,            0.028588,           0.0087205,           0.0034511,             0.97856,                   1,              0.9938,             0.83983,            0.023427,           0.0031883,           0.0026752,           0.0073864,           0.0073864,           0.0073864
                 134,            0.023474,           0.0076261,           0.0028896,             0.99858,                   1,               0.995,             0.77071,             0.02651,           0.0032698,            0.002618,           0.0073666,           0.0073666,           0.0073666
                 135,            0.032437,           0.0095124,           0.0030867,             0.99841,                   1,               0.995,             0.81971,            0.020909,           0.0033748,           0.0027111,           0.0073468,           0.0073468,           0.0073468
                 136,            0.027255,           0.0077219,           0.0030349,             0.99863,                   1,               0.995,              0.8401,            0.020668,            0.003278,           0.0026968,            0.007327,            0.007327,            0.007327
                 137,            0.023885,           0.0086145,           0.0032972,             0.97937,                   1,               0.995,             0.81681,            0.017356,            0.003169,           0.0027567,           0.0073072,           0.0073072,           0.0073072
                 138,            0.027785,           0.0078399,           0.0031241,             0.99854,                   1,               0.995,             0.81136,             0.02222,           0.0033334,           0.0027125,           0.0072874,           0.0072874,           0.0072874
                 139,            0.022808,           0.0065357,            0.003112,              0.9973,                   1,               0.995,             0.85189,            0.021176,           0.0032425,           0.0027574,           0.0072676,           0.0072676,           0.0072676
                 140,            0.026279,            0.011285,           0.0034207,             0.99774,                   1,               0.995,             0.84077,            0.020701,           0.0034054,           0.0027412,           0.0072478,           0.0072478,           0.0072478
                 141,            0.025337,           0.0065382,           0.0030556,             0.99843,                   1,               0.995,             0.89276,            0.017145,           0.0031818,           0.0027963,            0.007228,            0.007228,            0.007228
                 142,            0.021817,           0.0076064,           0.0032306,             0.99484,                   1,               0.995,             0.78158,            0.026781,           0.0036237,           0.0026948,           0.0072082,           0.0072082,           0.0072082
                 143,            0.033736,           0.0091952,           0.0031689,             0.99851,                   1,               0.995,             0.87597,            0.020407,           0.0031795,           0.0028189,           0.0071884,           0.0071884,           0.0071884
                 144,            0.021834,           0.0072827,           0.0030096,              0.8891,                   1,             0.99343,             0.85388,            0.020647,           0.0034579,           0.0027909,           0.0071686,           0.0071686,           0.0071686
                 145,            0.025828,           0.0070025,           0.0028378,             0.99742,                   1,               0.995,             0.86179,            0.022564,            0.003233,           0.0028973,           0.0071488,           0.0071488,           0.0071488
                 146,            0.024037,           0.0066286,           0.0030752,              0.9983,                   1,               0.995,             0.86074,            0.017835,           0.0030732,           0.0028033,            0.007129,            0.007129,            0.007129
                 147,             0.02321,           0.0084052,           0.0031354,             0.99847,                   1,               0.995,             0.86471,            0.018346,           0.0030722,           0.0028878,           0.0071092,           0.0071092,           0.0071092
                 148,            0.025023,           0.0068216,           0.0028147,             0.99835,                   1,               0.995,             0.82519,            0.017336,           0.0030107,           0.0027656,           0.0070894,           0.0070894,           0.0070894
                 149,            0.020906,           0.0082778,           0.0030634,             0.97859,                   1,              0.9946,             0.85963,            0.018878,           0.0031648,            0.002852,           0.0070696,           0.0070696,           0.0070696
                 150,            0.026082,           0.0074509,           0.0031388,             0.99868,                   1,               0.995,             0.84281,            0.017284,           0.0028782,           0.0027615,           0.0070498,           0.0070498,           0.0070498
                 151,             0.02095,           0.0066392,           0.0028187,             0.99855,                   1,               0.995,             0.83937,            0.023287,           0.0033638,           0.0028691,             0.00703,             0.00703,             0.00703
                 152,            0.027335,           0.0069197,           0.0031696,              0.9987,                   1,               0.995,             0.83437,            0.016663,           0.0031438,           0.0027872,           0.0070102,           0.0070102,           0.0070102
                 153,            0.021452,           0.0069215,           0.0032703,             0.99858,                   1,               0.995,             0.84973,             0.01772,             0.00335,           0.0027748,           0.0069904,           0.0069904,           0.0069904
                 154,            0.024083,           0.0081161,           0.0031368,             0.99864,                   1,               0.995,             0.74742,            0.021448,           0.0034809,           0.0027008,           0.0069706,           0.0069706,           0.0069706
                 155,            0.027644,           0.0084468,           0.0030801,             0.99861,                   1,               0.995,             0.87578,            0.017601,           0.0029369,           0.0026567,           0.0069508,           0.0069508,           0.0069508
                 156,            0.022327,           0.0073363,           0.0028349,             0.99861,                   1,               0.995,             0.77765,              0.0245,           0.0034674,            0.002643,            0.006931,            0.006931,            0.006931
